frame,cls,r_mean,g_mean,b_mean,r_range,g_range,b_range,r_var,g_var,b_var,x_average,y_average,height,width,area,entropy,r_skewness,g_skewness,b_skewness,r_kurtosis,g_kurtosis,b_kurtosis,luminance,xmin,xmax,ymin,ymax
10803,0,64.92826704545455,58.07481060606061,61.582149621212125,249,255,254,2355.670596176188,2500.595571302517,2471.966420631539,193.64614868164065,274.241943359375,72,176,12693.86007312499,4.388112877487584,1.2930606389069497,1.1965940765477672,0.990760692564465,1.001988115203135,0.6386221707518258,0.1174791417128751,59.784049242424246,105,281,238,310
10803,0,138.9976373487903,124.95470010080643,114.5334236391129,255,255,255,5666.912828339019,5518.423918181087,4317.048782053848,418.62103271484375,410.61956787109375,256,124,31854.201711605303,3.993329469321779,-0.1792666216358782,-0.1522553155518383,-0.1598313306329455,-1.4045273073796625,-1.3233141922309442,-1.0946604172274708,127.18745023311492,356,480,282,538
10803,0,97.09844701108165,88.64417824254721,86.85047604182925,252,255,255,4424.019260893787,4590.6343554474415,4206.718004689171,453.3284912109375,277.5824890136719,149,344,51285.21256193379,4.353816711502409,0.881669210519383,0.8411003593992774,0.7140872290264934,-0.3042634824234382,-0.3490282340959414,-0.5573637828540199,90.31138442718904,281,625,203,352
10803,0,107.19277885235331,91.54448742746617,88.21824629271438,209,192,193,2574.91576990531,2562.6484077159944,2316.657397569259,1105.658935546875,195.7972717285156,94,33,3065.4946067519486,5.066797411745377,0.285541495032368,0.2390578416610055,0.2067824542144974,-1.2420517584656168,-1.3130835091911832,-1.2323714152898535,94.62992736943907,1089,1122,148,242
10803,0,105.37159863945578,96.45521541950112,96.1000566893424,224,236,238,1415.3440573082985,1460.645953525025,1482.6745124684403,1070.80859375,195.43382263183597,98,36,3536.4343373663723,5.015801713585013,0.6612947909973125,0.8042962225205039,0.7316212663810691,0.0298666341516939,0.5214554441737174,0.7687965173451872,98.32433990929704,1052,1088,146,244
10803,0,108.26444497722368,97.38647806281467,92.71469671541595,193,205,203,1676.4126869312183,1769.3193472459236,1524.5103066629945,907.8653564453124,211.0626220703125,97,43,4185.577316905372,4.630728693440072,0.2848790474933732,0.2490747639851257,0.2122727111699633,-0.7534600015364572,-0.6051523570186501,-0.4060824542926111,99.36121059697916,886,929,162,259
10803,0,116.07358674463936,103.1279239766082,98.9900097465887,235,251,246,2416.832791618702,3001.553079900656,3217.798876803009,772.5615234375,251.75347900390625,108,38,4179.717946218327,4.709036161468253,0.6085804528970797,0.4437444100924501,0.1991473715741644,-0.575722731628546,-0.8557472019821812,-1.2578397603696303,105.5805336988304,753,791,197,305
10803,0,136.83406022845276,134.17632398753895,129.49615784008307,214,227,237,2296.9973861106587,2484.208785240936,2569.432539754946,835.7996826171875,243.4560546875,107,45,4765.33466103673,4.425854863227976,-0.1428707011839437,-0.2406767977688855,-0.3106483078742565,-1.0612540214887949,-0.8369397409474102,-0.5469363042270041,134.40365295950156,813,858,189,296
10803,0,103.43513565891472,82.86554263565891,76.87017441860465,250,227,213,2777.0831957177634,2436.1630452485124,1927.6561879545109,282.4867248535156,871.5733642578125,200,258,51369.50874026492,3.1575545802037004,0.1242857252006046,0.2101252488812318,0.1376994024651867,-1.419097697733975,-1.371299051814058,-1.3299557314679016,86.80431510465117,153,411,771,971
10806,0,66.92515723270441,58.98077268643306,60.41868823000898,246,255,254,2588.814793888163,2677.0973841289074,2523.4006211004794,185.01519775390625,274.7191772460937,70,159,11114.743884365307,4.313960606710103,1.3289441534015922,1.2588068093044,1.0915978795883978,0.9526691219845964,0.6968159050652019,0.3303499086948394,60.772628113207546,105,264,239,309
10806,0,141.1355633802817,126.50866944088776,115.56900874946648,251,255,253,5731.087843227169,5391.273025566867,4106.4575190557935,387.87353515625,417.7721557617188,264,142,37466.890973295085,3.884195595057738,-0.3350438781416062,-0.3319186367010159,-0.3475856295343788,-1.3667984752945543,-1.293322753317399,-1.068480815431451,128.8281348671575,316,458,285,549
10806,0,91.95111838516094,83.5069721767594,82.50969994544462,253,255,255,4381.641167598016,4628.411784449376,4341.548629315297,370.6702270507813,280.8924865722656,141,325,45816.69773012726,4.438580310268406,0.8323519958678102,0.7896138480903458,0.6747163886073071,-0.4342660135769347,-0.5145487316902528,-0.7618351875868394,85.22944991816694,208,533,210,351
10806,0,108.76432291666669,93.11946614583331,89.63313802083333,210,200,201,2624.1814354790063,2607.193084610787,2373.1144357256976,1104.531982421875,195.2999267578125,96,32,3135.552268669009,5.098391825359358,0.2418554425367041,0.1899341434931163,0.1699560180172493,-1.2601658447550126,-1.3159523352166302,-1.241721778751252,96.19263395182293,1088,1120,147,243
10806,0,107.03854875283449,98.68877551020408,98.40419501133786,213,228,243,1425.3891035628171,1547.3793297931368,1644.009528887134,1070.516357421875,195.14077758789065,98,36,3563.8385680504143,5.030343755768366,0.6300817601163086,0.820623794866848,0.8161151375227359,-0.0193193639669195,0.5629107978273682,0.8953908294403123,100.4425840702948,1052,1088,146,244
10806,0,106.82951973849636,95.9371385466432,91.53155644958512,200,215,215,1645.7235138000217,1710.0201872357743,1483.3241864887043,910.11474609375,208.96722412109372,97,41,3975.9161022491753,4.646435157155508,0.2837660768313859,0.2599827513964647,0.226074187195385,-0.7779257446033796,-0.6579273836323121,-0.500863017206655,97.93412708071412,889,930,160,257
10806,0,121.257326007326,109.90499084249085,105.96978021978022,215,239,245,2612.3971532893383,3286.284242490751,3371.3452406110514,764.0966186523438,252.36041259765625,112,39,4382.494227781892,4.575708147325621,0.5182566096930048,0.3481579886547325,0.0896805777055259,-0.7352035706219371,-0.9260995759482308,-1.2415069909479997,112.03363337912089,744,783,196,308
10806,0,138.52814845704754,135.5854879065888,130.74165971643035,210,218,231,2369.302585479209,2566.733100491787,2690.5460626331537,837.468505859375,244.78482055664065,109,44,4832.595089415088,4.520173781143658,-0.0943702146199879,-0.2078050614800015,-0.2929046185369072,-1.0095027163918862,-0.8415887527774881,-0.5631470890279573,135.86156326105086,815,859,190,299
10806,0,109.04262863446536,89.47068000945552,81.77699156882831,251,255,255,3162.7753162012555,2872.8174170702355,2261.0543725108987,309.0481872558594,849.18505859375,245,259,63332.36175715551,3.1885863324567443,0.0171385899066133,0.1280705438811053,0.1043070174171354,-1.47346095657579,-1.4067653742407042,-1.3223879459344166,93.0750041557009,179,438,726,971
10809,0,57.321097216619606,47.683608982116446,49.06615570794676,241,238,237,1563.954715590542,1510.7821072925958,1546.2494892283755,161.97189331054688,275.9678955078125,67,111,7432.46316607995,4.3634740828410274,1.8263994772743584,1.7387265188227647,1.4709947592776418,3.5032207387173546,3.1134764542182154,2.156455537259098,49.831256850880735,106,217,242,309
10809,0,146.91955080110364,132.38022169514497,121.9524178324217,249,255,255,5515.736593902343,5294.657938845536,4027.415616763973,348.3055419921875,429.2311096191406,283,146,41460.17167776637,4.072606796711239,-0.4150054040298304,-0.4100869289236796,-0.417699541977213,-1.2387927277630844,-1.1566252942848172,-0.908063023515696,134.71798447165884,275,421,287,570
10809,0,81.5048435171386,71.07985593641331,69.67098857426727,252,255,255,4578.434825025079,4672.445709467661,4278.446048550945,294.15728759765625,282.4881286621094,132,305,40620.91143664066,4.330867191330603,1.1889039136659996,1.2195026244506617,1.1593446293911387,0.2737498684260653,0.4063369700323176,0.2921764156540902,73.19358646050671,141,446,216,348
10809,0,108.34895345204625,92.72539831302718,89.24742268041237,208,196,197,2577.8310587298024,2576.189198724528,2370.767897918505,1103.89990234375,195.1641387939453,97,33,3226.208554342389,5.12191760304756,0.2950033260156606,0.2375484137483188,0.2161588589336806,-1.2195113607166297,-1.2731803948066105,-1.2136715265846347,95.7946417369572,1087,1120,146,243
10809,0,108.59608843537416,100.40192743764172,99.57086167800452,218,239,243,1436.748703520525,1691.4660053552766,1825.720035311928,1070.404296875,195.3779296875,98,36,3469.61888165772,5.063631757206936,0.5655059892815488,0.7989459187347597,0.9303921547405712,-0.1502672229294499,0.5150458911273623,1.112493615151978,102.08326680839002,1052,1088,146,244
10809,0,106.80948442238764,95.39950372208436,91.1298593879239,201,208,199,1598.8037920418778,1684.549798485453,1468.9952677772987,911.0839233398438,208.17205810546875,93,39,3547.8507266789675,4.564054207944679,0.2568908505332634,0.2308258035205399,0.1869064790200209,-0.8152676431969077,-0.7175860475475764,-0.6199927804300494,97.51628326440584,891,930,161,254
10809,0,121.76503094606542,110.59173297966402,106.96175950486295,235,251,242,2621.157212178521,3236.650073124119,3301.055345798745,757.0462646484375,256.1314392089844,116,39,4626.056093211286,4.750251917563982,0.613440151884682,0.4182897519523583,0.1776012764988115,-0.5724901998984544,-0.8542228684762465,-1.1857612820889902,112.70433770999117,737,776,198,314
10809,0,139.0457227138643,136.26493362831857,131.71073008849558,224,231,238,2519.7545466015986,2667.6088293466278,2766.604560381395,837.5193481445312,245.77639770507807,113,48,5330.956833995879,4.5589114633662575,-0.0905495466240775,-0.2044673139811673,-0.3271911871286987,-0.9964849720647692,-0.8141560449846721,-0.546540923729816,136.5274932337758,813,861,189,302
10809,0,115.01571767497036,96.72376150934868,87.89774332034119,255,255,252,3173.8527016074045,2959.194649196358,2300.4994147798097,345.6161804199219,830.8247680664062,281,252,71077.02132824622,3.332773015625901,-0.0957713842396791,0.0297943497955706,0.0806683409794913,-1.3706948839165067,-1.3273018325243375,-1.1365003093969075,99.97444628311584,219,471,690,971
10809,0,111.10126681263684,101.78401626524868,98.92664998436034,249,255,255,5636.344999959129,5963.032331320453,5655.379042671678,429.2713623046875,260.2273864746094,92,139,12826.889109390322,4.846130329614841,0.5902815800434931,0.59045350118096,0.5362936666268685,-0.948080160411775,-0.9324265725835384,-1.0028942699396173,103.5579158977166,359,498,214,306
10812,0,149.84094256259203,134.9478195058092,123.65326869579448,250,255,252,4964.002969427932,4734.002575019575,3587.301823712789,317.7914733886719,442.0884094238281,291,168,48761.17664309498,3.888482219375109,-0.6114362206899323,-0.5792553772463298,-0.5300731936167179,-0.902499038688482,-0.8058192299275739,-0.5314550498997344,137.2982710419735,233,401,296,587
10812,0,63.60688920454545,52.99032998251748,55.33978911713287,250,255,255,2828.833635886355,2732.949097924181,2634.636646721084,224.65945434570312,284.6376647949219,128,286,36482.07477115374,4.090911114279449,1.5064097581206304,1.512779994194854,1.334030672780169,1.543417615487007,1.6830108339497496,1.2262264820832272,55.41574482080419,81,367,220,348
10812,0,106.1872852233677,90.5074455899198,86.9487399770905,215,192,187,2609.4196779679096,2594.68808889307,2369.477612959889,1103.091796875,194.8622131347656,97,36,3461.6554790511727,5.117306905909131,0.3157142711339659,0.2841148419078783,0.2808435080325942,-1.188744499682939,-1.271196365687261,-1.210744896740087,93.5828288373425,1085,1121,146,243
10812,0,108.25982142857144,100.24196428571427,99.64553571428571,232,235,243,1515.8762428252562,1876.060798522528,2095.480009832054,1070.046630859375,195.52047729492188,96,35,3430.8316694330424,5.100846285393394,0.6029764491499147,0.8379320696053957,1.0363943963543614,-0.1695260167598169,0.4106509164786813,1.106351809157072,101.90275642857144,1052,1087,147,243
